"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Sakura no Mori † Dreamers 2","0","0","7","0","3.19","3.19","0.44","1.26","-187.5","0.38","1.76","24","1.15","2019-07-07","983150"
"Wanba Warriors","0","0","6","0","2.58","2.58","0.44","0.27","37.5","0.16","0.16","72","1.15","2021-02-04","1021770"
"神明的一天世界-God's One Day World","0","0","5","0","3.95","3.95","0.77","0.99","-28.6","0.22","5.22","14","2.03","2016-07-02","490390"
"! That Bastard Is Trying To Steal Our Gold !","0","0","5","0","8.46","8.46","1.70","1.54","9.7","0.16","0.22","44","2.97","2017-04-01","449940"
"!Anyway!","0","0","5","0","9.01","9.01","1.81","1.32","27.3","0.82","0.16","24","3.13","2018-08-16","866510"
"#Archery","0","0","5","0","7.52","7.52","1.48","1.81","-22.2","8.24","0.44","20","3.84","2017-04-11","493790"
"#KILLALLZOMBIES","0","0","5","0","6.37","6.37","1.26","1.04","17.4","0.16","0.16","35","3.30","2016-07-21","303720"
"#monstercakes","0","0","5","0","4.67","4.67","0.93","2.86","-205.9","0.16","0.16","107","2.42","2017-05-05","614910"
"#SelfieTennis","0","0","10","0","6.59","6.59","0.66","1.98","-200.0","90.62","0.55","28","2.86","2017-04-12","392190"
"$1 Ride","0","0","5","0","2.97","2.97","0.60","0.49","18.2","0.16","0.16","147","1.59","2016-07-29","508290"
"","0","0","7","0","5.49","5.49","0.77","0.93","-21.4","4.39","0.66","29","2.69","2017-04-19","562280"
"""Glow Ball"" - The billiard puzzle game","0","0","5","0","5.82","5.82","1.15","0.99","14.3","0.16","0.22","17","3.02","2017-04-13","388390"
"'n Verlore Verstand","0","0","6","0","2.58","2.58","0.44","0.33","25.0","0.22","0.27","92","1.15","2018-05-15","439550"
"- Arcane Raise -","0","0","5","0","6.26","6.26","1.26","1.48","-17.4","0.22","10.76","72","3.30","2017-03-13","603750"
"---Red---Tether-->","0","0","9","0","13.29","13.29","1.48","1.81","-22.2","12.41","10.38","23","6.43","2024-07-20","1714080"
"-The Sacrificial Girl of the Fantasy 3 Kingdoms-","0","0","6","0","7.08","7.08","1.21","1.37","-13.6","0.71","5.16","17","3.13","2022-05-15","1240480"
".hack//G.U. Last Recode","0","0","8","0","3.57","3.57","0.44","0.44","0.0","0.49","0.38","56","1.54","2017-11-03","525480"
"001 Game Creator","0","0","8","0","7.36","7.36","0.93","1.81","-94.1","211.33","5.82","20","3.24","2024-08-27","347400"
"0RBITALIS","0","0","6","0","13.35","13.35","2.20","N/A","0.0","0.82","2.91","17","5.71","2014-11-10","278440"
"1 Moment Of Time: Silentville","0","0","10","0","6.21","6.21","0.60","0.33","45.5","0.49","24.93","17","2.64","2016-07-22","497400"
"1 vs 1 : Global Operations","0","0","9","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2017-05-26","628340"
"1,000 Heads Among the Trees","0","0","5","0","5.11","5.11","1.04","0.66","36.8","0.16","0.16","24","2.75","2015-12-12","406730"
"10 Second Ninja","0","0","5","0","7.80","7.80","1.54","N/A","0.0","1.10","1.43","26","4.01","2014-03-17","271670"
"10 Second Ninja X","0","0","9","0","4.34","4.34","0.49","0.33","33.3","0.60","0.16","38","2.14","2016-07-22","435790"
"10,000,000","0","0","6","0","3.35","3.35","0.55","0.55","0.0","0.16","0.93","21","1.43","2014-10-28","227580"
"100 Asian Cats","0","0","5","0","7.41","7.41","1.48","1.43","3.7","2.14","1.10","45","3.84","2024-01-28","2667970"
"100 Christmas Cats","0","0","5","0","7.74","7.74","1.54","1.59","-3.6","2.42","1.10","22","4.01","2024-05-22","2687190"
"100 hidden birds","0","0","5","0","4.28","4.28","0.88","0.60","31.3","0.22","0.16","41","2.31","2023-08-10","1473050"
"100 hidden birds 2","0","0","5","0","3.35","3.35","0.66","0.44","33.3","0.16","0.99","29","1.70","2023-06-23","1766790"
"100 hidden cats","0","0","5","0","3.68","3.68","0.71","0.71","0.0","0.22","0.16","62","1.87","2022-03-20","1587560"
"100 hidden cats 2","0","0","5","0","3.08","3.08","0.60","0.44","27.3","0.16","0.22","77","1.59","2022-07-18","1679320"
"100 hidden dogs","0","0","5","0","3.73","3.73","0.77","1.26","-64.3","0.38","0.27","61","2.03","2024-03-15","1773890"
"100 hidden eternals","0","0","5","0","3.24","3.24","0.66","0.49","25.0","0.16","0.16","46","1.15","2022-08-23","1480120"
"100 hidden fish","0","0","5","0","3.40","3.40","0.66","0.88","-33.3","7.96","0.49","113","1.70","2024-09-27","1841390"
"100 hidden hares","0","0","5","0","5.11","5.11","1.04","0.77","26.3","1.32","0.16","36","2.75","2024-03-15","1932230"
"100 hidden mice","0","0","5","0","3.68","3.68","0.71","0.99","-38.5","1.37","0.16","37","1.87","2024-07-18","1522560"
"100 hidden mushrooms","0","0","5","0","3.19","3.19","0.66","0.60","8.3","0.44","0.71","36","1.70","2024-07-28","1573750"
"100 hidden snails","0","0","5","0","2.75","2.75","0.55","0.71","-30.0","1.26","0.27","74","1.43","2024-03-20","1446330"
"100 hidden snails 2","0","0","5","0","2.91","2.91","0.60","0.38","36.4","0.16","1.70","80","1.59","2022-12-06","1549030"
"100 hidden turtles","0","0","5","0","3.57","3.57","0.71","0.99","-38.5","0.38","0.27","81","1.87","2023-11-24","2013900"
"100 nya","0","0","5","0","19.55","19.55","3.90","8.18","-109.9","2.47","1.81","9","10.16","2016-12-07","553830"
"100% Orange Juice","0","0","8","0","3.46","3.46","0.44","0.33","25.0","0.33","0.16","190","1.54","2014-05-16","282800"
"1000 days to escape","0","0","5","0","7.96","7.96","1.59","0.66","58.6","0.44","2.25","21","4.17","2019-08-21","1103100"
"100ft Robot Golf","0","0","6","0","3.68","3.68","0.60","N/A","0.0","536.78","0.38","29","1.59","2017-03-16","368000"
"101 Ways to Die","0","0","7","0","10.60","10.60","1.54","1.81","-17.9","2.75","5.71","17","5.33","2016-04-15","413480"
"11-11 Memories Retold","0","0","12","0","3.68","3.68","0.33","0.22","33.3","0.93","0.49","144","1.70","2018-11-13","735580"
"112 Operator","0","0","5","0","2.09","2.09","0.44","0.27","37.5","0.22","0.22","396","0.77","2020-05-07","793460"
"1166","0","0","7","0","8.29","8.29","1.21","2.03","-68.2","9.78","2.64","11","4.23","2017-03-27","581810"
"12 is Better Than 6","0","0","5","0","2.42","2.42","0.49","0.33","33.3","0.16","0.16","165","1.26","2015-11-25","410110"
"12 Labours of Hercules","0","0","5","0","3.84","3.84","0.77","1.26","-64.3","0.22","0.16","34","2.03","2015-03-06","342580"
"12 Labours of Hercules II: The Cretan Bull","0","0","5","0","4.12","4.12","0.82","1.43","-73.3","0.22","0.16","34","2.14","2015-06-03","360640"
"12 Labours of Hercules III: Girl Power","0","0","5","0","2.75","2.75","0.55","0.38","30.0","0.22","0.22","21","1.43","2015-08-02","360650"
"12 Labours of Hercules IV: Mother Nature","0","0","7","0","3.19","3.19","0.44","0.38","12.5","0.55","0.16","26","1.54","2015-12-24","396800"
"12 Labours of Hercules V: Kids of Hellas","0","0","10","0","6.15","6.15","0.60","0.38","36.4","0.77","0.16","10","2.64","2016-06-18","491330"
"12 Labours of Hercules VI: Race for Olympus","0","0","7","0","3.19","3.19","0.44","0.55","-25.0","0.22","0.33","20","1.54","2017-01-04","567800"
"12 Labours of Hercules VII: Fleecing the Fleece","0","0","7","0","4.01","4.01","0.55","1.70","-210.0","0.27","0.16","16","1.92","2020-04-02","663210"
"12 orbits","0","0","5","0","5.71","5.71","1.15","1.37","-19.0","9.34","3.19","15","3.02","2017-01-08","529950"
"140","0","0","8","0","5.71","5.71","0.71","1.04","-46.2","0.33","0.16","41","2.47","2017-06-20","242820"
"1428: Shadows over Silesia","0","0","9","0","4.39","4.39","0.49","1.70","-244.4","0.27","3.57","36","2.14","2025-04-11","1228500"
"16bit Trader","0","0","6","0","2.97","2.97","0.49","0.44","11.1","0.16","0.16","173","1.26","2015-06-04","375460"
"1775: Rebellion","0","0","6","0","10.21","10.21","1.70","1.26","25.8","1.54","2.47","26","4.45","2016-10-05","422610"
"1849","0","0","5","0","4.39","4.39","0.88","1.70","-93.8","0.93","0.66","7","2.31","2014-12-29","290970"
"1914: Prelude to Chaos","0","0","10","0","3.62","3.62","0.38","0.22","42.9","0.16","0.16","86","1.65","2017-05-09","627950"
"1917 - The Alien Invasion DX","0","0","5","0","3.95","3.95","0.77","0.66","14.3","0.33","0.33","11","1.32","2016-06-12","470060"
"1931: Scheherazade at the Library of Pergamum","0","0","10","0","3.35","3.35","0.33","0.22","33.3","0.27","0.33","28","1.43","2015-04-01","334850"
"1943 Deadly Desert","0","0","9","0","5.22","5.22","0.60","0.49","18.2","1.87","15.54","14","2.64","2018-05-15","616750"
"1943 Megami Strike","0","0","5","0","9.56","9.56","1.92","3.08","-60.0","2.20","7.80","39","5.00","2016-02-24","440810"
"1953: NATO vs Warsaw Pact","0","0","7","0","2.31","2.31","0.33","0.22","33.3","0.16","0.16","127","1.15","2014-12-04","325470"
"1954 Alcatraz","0","0","8","0","3.30","3.30","0.38","0.49","-28.6","0.16","0.27","39","1.32","2014-03-11","255280"
"1979 Invasion Earth","0","0","5","0","7.03","7.03","1.43","1.87","-30.8","3.68","0.22","28","3.73","2017-01-20","575880"
"1979 Revolution: Black Friday","0","0","9","0","3.68","3.68","0.38","0.71","-85.7","5.77","13.02","13","1.65","2016-04-05","388320"
"1993 Space Machine","0","0","8","0","3.46","3.46","0.44","2.42","-450.0","3.79","0.16","20","1.54","2021-09-08","373480"
"1bitHeart","0","0","9","0","5.05","5.05","0.55","0.60","-10.0","1.32","0.88","32","2.36","2017-08-28","618720"
"1Heart","0","0","6","0","13.78","13.78","2.31","1.81","21.4","0.93","10.27","26","6.04","2014-10-13","270190"
"1Quest","0","0","6","0","3.57","3.57","0.60","N/A","0.0","69.64","2.91","13","1.59","2014-12-06","332710"
"2 Ninjas 1 Cup","0","0","6","0","2.91","2.91","0.49","0.22","55.6","0.16","0.16","30","1.26","2017-02-04","576810"
"200% Mixed Juice!","0","0","10","0","7.52","7.52","0.77","0.60","21.4","3.62","0.55","41","3.35","2015-10-19","335190"
"2064: Read Only Memories","0","0","8","0","2.69","2.69","0.33","0.33","0.0","0.16","0.16","43","1.15","2015-10-06","330820"
"20XX","0","0","8","0","2.58","2.58","0.33","0.22","33.3","8.07","0.22","69","1.15","2017-08-16","322110"
"21 Days","0","0","5","0","7.80","7.80","1.54","0.99","35.7","2.25","2.14","12","4.01","2017-06-17","607660"
"24 Killers","0","0","6","0","3.84","3.84","0.66","5.00","-658.3","2.64","35.31","18","1.70","2023-09-14","1668310"
"2Dark","0","0","6","0","2.97","2.97","0.49","0.38","22.2","0.55","3.13","21","1.26","2017-02-08","435100"
"2MD VR Football Classic","0","0","8","0","21.25","21.25","2.64","1.76","33.3","16.09","126.04","14","9.17","2019-09-19","674850"
"3 Coins At School","0","0","11","0","3.51","3.51","0.33","0.22","33.3","0.27","0.66","51","1.70","2016-04-22","462110"
"3 Minutes to Midnight","0","0","8","0","4.01","4.01","0.49","2.25","-355.6","0.77","1.32","45","1.70","2024-09-17","832500"
"3 Stars of Destiny","0","0","5","0","2.91","2.91","0.60","1.21","-100.0","2.69","5.60","14","1.59","2014-09-20","278530"
"3001: A MILF Odyssey","0","0","6","0","3.51","3.51","0.60","2.14","-254.5","29.16","2.80","35","1.59","2023-02-18","2271750"
"303 Squadron: Battle of Britain","0","0","6","0","5.49","5.49","0.93","1.26","-35.3","4.01","0.77","20","2.42","2018-09-01","675170"
"3030 Deathwar Redux - A Space Odyssey","0","0","15","0","92.10","92.10","6.15","1.43","76.8","1.65","2.20","19","42.78","2018-05-21","464360"
"3079 -- Block Action RPG","0","0","6","0","5.11","5.11","0.82","1.81","-120.0","4.78","0.99","17","2.14","2014-01-03","259620"
"3089 -- Futuristic Action RPG","0","0","8","0","2.97","2.97","0.38","0.49","-28.6","0.16","5.44","20","1.32","2014-01-10","263360"
"35MM","0","0","5","0","6.81","6.81","1.37","1.10","20.0","1.65","0.33","26","3.57","2016-06-12","466500"
"365 Days","0","0","10","0","4.34","4.34","0.44","0.88","-100.0","3.35","0.60","20","1.92","2017-02-08","576390"
"39 Days to Mars","0","0","8","0","3.62","3.62","0.44","0.33","25.0","0.71","0.49","12","1.54","2018-04-12","504920"
"3D Arcade Fishing","0","0","5","0","6.04","6.04","1.21","0.93","22.7","2.69","0.88","19","3.13","2016-12-20","534910"
"3D Chess","0","0","5","0","2.91","2.91","0.60","0.66","-9.1","0.11","1.32","24","1.59","2016-12-07","535700"
"3D Custom Lady Maker","0","0","5","0","5.99","5.99","1.21","0.88","27.3","2.25","0.27","20","3.13","2019-05-22","985760"
"3D Paraglider","0","0","5","0","18.12","18.12","3.62","1.81","50.0","1.21","2.36","18","9.45","2015-08-04","367990"
"3D ParticleGen Visual FX","0","0","8","0","10.65","10.65","1.32","1.43","-8.3","0.16","1.10","13","4.56","2019-01-23","279740"
"3DF Zephyr Lite Steam Edition","0","0","6","0","7.63","7.63","1.26","31.74","-2,413.0","1.87","0.00","7","3.30","2016-02-02","438450"
"3DMark","0","0","6","0","2.58","2.58","0.44","0.33","25.0","0.33","0.33","434","1.15","2021-09-27","223850"
"3DRPG","0","0","8","0","3.79","3.79","0.49","0.44","11.1","0.16","0.16","32","1.70","2016-01-13","431840"
"3on3 FreeStyle","0","0","7","0","5.66","5.66","0.82","0.00","100.0","0.82","3.68","10","2.86","2017-10-16","624910"
"3on3 FreeStyle: Rebound","0","0","7","0","4.23","4.23","0.60","0.93","-54.5","0.38","0.49","111","2.09","2020-07-16","1292630"
"3SwitcheD","0","0","6","0","3.73","3.73","0.60","0.77","-27.3","0.27","0.22","99","1.59","2018-01-23","206610"
"404Sight","0","0","5","0","4.50","4.50","0.88","1.59","-81.2","6.81","0.93","48","2.31","2015-05-05","361630"
"4089: Ghost Within","0","0","6","0","9.12","9.12","1.54","1.21","21.4","1.65","0.71","36","4.01","2015-01-09","329770"
"420BLAZEIT2: GAME OF THE YEAR -=Dank Dreams and Goated Memes=- [#wow/11 Like and Subscribe] Poggerz Edition","0","0","8","0","6.54","6.54","0.82","1.21","-46.7","6.15","13.78","46","2.86","2025-01-22","2624280"
"428 Shibuya Scramble","0","0","8","0","2.64","2.64","0.33","0.33","0.0","0.33","6.43","85","1.15","2018-09-04","648580"
"4D Toys","0","0","6","0","3.95","3.95","0.66","4.67","-608.3","6.76","12.91","34","1.70","2018-09-12","619210"
"4Team","0","0","12","0","11.64","11.64","0.99","0.44","55.6","1.32","11.70","23","5.16","2016-11-29","534320"
"5 Minutes Rage","0","0","10","0","6.59","6.59","0.66","0.93","-41.7","2.69","0.88","39","2.86","2018-02-27","416700"
"50 years","0","0","5","0","4.28","4.28","0.88","3.90","-343.7","0.22","0.16","48","2.31","2016-11-17","502740"
"500 Years Act 1","0","0","6","0","2.97","2.97","0.49","0.77","-55.6","0.82","0.55","29","1.26","2015-04-16","357200"
"5089: The Action RPG","0","0","5","0","4.39","4.39","0.88","0.00","100.0","43.77","8.51","15","2.31","2016-01-21","414510"
"6 Nights","0","0","5","0","3.13","3.13","0.60","2.25","-272.7","0.16","0.16","25","1.59","2023-06-03","381000"
"60 Parsecs!","0","0","5","0","2.91","2.91","0.60","0.38","36.4","0.22","0.27","70","1.59","2019-07-26","646270"
"60 Seconds!","0","0","5","0","2.53","2.53","0.49","0.33","33.3","0.55","0.33","122","1.26","2015-05-26","368360"
"60 Seconds! Reatomized","0","0","5","0","2.64","2.64","0.55","0.33","40.0","0.33","0.33","397","1.43","2019-08-02","1012880"
"6180 the moon","0","0","5","0","8.29","8.29","1.65","1.32","20.0","1.37","2.47","24","4.28","2014-09-19","299660"
"63 Days","0","0","5","0","2.91","2.91","0.60","2.36","-290.9","12.47","1.81","45","1.59","2024-10-15","2202120"
"64.0","0","0","6","1","2.31","2.31","0.38","1.15","-200.0","0.44","0.22","41","0.99","2017-03-15","578850"
"69 Ways to Kill a Zombie","0","0","6","0","2.69","2.69","0.44","0.27","37.5","0.16","0.16","331","1.15","2021-02-17","512410"
"7 Billion Humans","0","0","6","0","2.58","2.58","0.44","0.33","25.0","0.66","0.82","46","1.15","2020-04-13","792100"
"7 Days to Die","0","0","8","0","2.75","2.75","0.33","0.27","16.7","0.33","0.38","3797","1.15","2016-12-07","251570"
"7 days with Death","0","0","5","0","5.66","5.66","1.15","0.00","100.0","2.09","1.26","11","3.02","2017-10-14","617820"
"7 Girls War","0","0","7","0","7.96","7.96","1.15","0.00","100.0","16.09","6.54","21","4.01","2021-09-07","1279270"
"7 Grand Steps, Step 1: What Ancients Begat","0","0","8","0","3.13","3.13","0.38","0.33","14.3","1.81","8.79","22","1.32","2013-08-20","238930"
"7 Sexy Sins","0","0","7","0","4.23","4.23","0.60","1.59","-163.6","4.83","6.54","28","1.59","2019-11-21","1023740"
"7,62 High Calibre","0","0","6","0","4.23","4.23","0.71","N/A","0.0","0.16","11.48","29","1.87","2014-06-23","289890"
"7th Sector","0","0","6","0","6.26","6.26","1.04","0.55","47.4","0.99","0.44","7","2.75","2019-03-23","749250"
"8-Bit Adventures 1: The Forgotten Journey Remastered Edition","0","0","14","0","4.72","4.72","0.33","N/A","0.0","0.99","0.88","14","1.70","2015-05-22","370300"
"8-Bit Adventures 2","0","0","7","0","4.61","4.61","0.66","1.81","-175.0","13.24","1.70","22","2.31","2023-02-14","733110"
"8-Bit Armies","0","0","10","0","3.40","3.40","0.33","0.27","16.7","2.09","8.95","35","1.43","2016-05-06","427250"
"8-Bit Hordes","0","0","8","0","3.35","3.35","0.44","0.49","-12.5","0.22","0.49","20","1.54","2016-08-12","497850"
"8-Bit Invaders!","0","0","8","0","3.46","3.46","0.44","0.38","12.5","0.33","4.67","18","1.54","2016-12-16","531680"
"88 Heroes","0","0","9","0","4.28","4.28","0.49","0.44","11.1","0.27","1.59","9","2.14","2017-03-07","487040"
"8Bit Fiesta","0","0","9","0","13.46","13.46","1.48","0.77","48.1","6.70","1.76","19","6.43","2015-09-29","382260"
"8BitMMO","0","0","6","0","7.74","7.74","1.32","0.93","29.2","1.32","1.70","23","3.46","2014-06-16","250420"
"8Doors: Arum's Afterlife Adventure","0","0","10","0","2.91","2.91","0.27","0.22","20.0","0.16","1.54","106","1.21","2021-04-22","668550"
"8infinity","0","0","5","0","3.35","3.35","0.66","0.38","41.7","0.16","0.16","144","1.70","2016-09-23","526540"
"9 Clues 2: The Ward","0","0","6","0","3.13","3.13","0.49","0.44","11.1","0.16","0.16","26","1.26","2015-07-23","369420"
"9 Clues: The Secret of Serpent Creek","0","0","6","0","3.90","3.90","0.66","N/A","0.0","0.16","0.16","15","1.70","2014-07-11","284870"
"9 Kings","0","0","9","0","3.95","3.95","0.44","6.37","-1,350.0","1.76","0.77","146","1.92","2025-05-24","2784470"
"9 Monkeys of Shaolin","0","0","8","0","5.71","5.71","0.71","0.93","-30.8","0.44","4.78","32","2.47","2020-11-23","739080"
"9-Bit Armies: A Bit Too Far","0","0","10","0","5.05","5.05","0.49","1.48","-200.0","61.73","4.06","27","2.14","2024-05-01","1439750"
"9-nine-:Episode 1","0","0","5","0","11.09","11.09","2.20","1.26","42.5","0.77","0.49","31","5.71","2019-02-01","976390"
"9-nine-:Episode 2","0","0","5","0","6.59","6.59","1.32","1.43","-8.3","3.13","0.49","44","3.46","2019-08-21","1033420"
"911 Operator","0","0","7","0","2.42","2.42","0.33","0.22","33.3","0.16","0.16","409","1.15","2017-03-06","503560"
"99 Levels To Hell","0","0","5","0","3.19","3.19","0.66","0.33","50.0","0.66","0.22","14","1.70","2014-02-20","264280"
"99 Spirits","0","0","15","0","7.74","7.74","0.49","0.49","0.0","6.81","9.23","19","3.46","2013-11-13","258090"
"99 Waves to Die","0","0","5","0","2.25","2.25","0.44","0.22","50.0","0.16","0.38","95","1.15","2023-06-08","360600"
"99Vidas","0","0","10","0","3.35","3.35","0.33","0.22","33.3","0.27","0.22","22","1.43","2016-12-23","557040"
":THE LONGING:","0","0","14","0","7.41","7.41","0.55","0.60","-10.0","0.38","0.33","68","3.35","2022-06-13","893850"
"[NINJA GAIDEN: Master Collection] NINJA GAIDEN 3: Razor's Edge","0","0","6","0","3.51","3.51","0.60","0.00","100.0","0.38","16.64","43","1.59","2021-06-14","1369760"
"[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ","0","0","6","0","3.02","3.02","0.49","0.55","-11.1","0.38","0.66","55","1.26","2021-06-14","1580780"
"[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2","0","0","6","0","3.90","3.90","0.66","0.93","-41.7","0.44","6.54","40","1.70","2021-06-14","1580790"
"[Old Edition] Croixleur Sigma","0","0","6","0","5.60","5.60","0.93","0.99","-5.9","0.49","5.60","97","2.42","2014-04-30","250640"
"[TDA00] Muv-Luv Unlimited: THE DAY AFTER - Episode 00 REMASTERED","0","0","5","0","2.69","2.69","0.55","2.31","-320.0","2.42","0.49","24","1.43","2022-08-29","1407100"
"[TDA01] Muv-Luv Unlimited: THE DAY AFTER - Episode 01 REMASTERED","0","0","5","0","3.24","3.24","0.66","2.31","-250.0","26.20","0.49","20","1.70","2022-08-29","1407090"
"[TDA02] Muv-Luv Unlimited: THE DAY AFTER - Episode 02 REMASTERED","0","0","5","0","4.67","4.67","0.93","2.31","-147.1","1.26","1.54","24","2.42","2022-08-29","1342410"
"[TDA03] Muv-Luv Unlimited: THE DAY AFTER - Episode 03 REMASTERED","0","0","5","0","2.80","2.80","0.55","2.31","-320.0","1.76","1.98","31","1.43","2022-08-29","789830"
"[the Sequence]","0","0","7","0","3.57","3.57","0.49","2.31","-366.7","0.22","4.17","19","1.70","2016-03-27","454320"
"A Bastard's Tale","0","0","5","0","8.07","8.07","1.59","1.32","17.2","0.27","0.38","29","4.17","2015-05-31","371550"
"A Bird Story","0","0","5","0","3.51","3.51","0.71","0.49","30.8","0.16","0.27","76","1.87","2014-11-06","327410"
"A Blind Legend","0","0","5","0","4.12","4.12","0.82","0.60","26.7","0.38","6.76","31","2.14","2017-03-02","437530"
"A Bloody Night","0","0","6","0","8.40","8.40","1.43","1.15","19.2","11.31","22.52","9","3.73","2017-08-08","639720"
"A Boy and His Blob","0","0","13","0","5.88","5.88","0.44","0.27","37.5","1.65","1.59","23","2.69","2016-01-19","281200"
"A Building Full of Cats","0","0","6","0","5.60","5.60","0.93","1.10","-17.6","2.36","0.27","57","2.42","2022-08-14","1969080"
"A Butterfly in the District of Dreams","0","0","5","0","4.34","4.34","0.88","N/A","0.0","24.82","0.99","23","2.31","2017-05-11","617430"
"A Case of Distrust","0","0","5","0","2.47","2.47","0.49","0.55","-11.1","0.16","0.33","24","0.88","2018-10-10","717610"
"A Castle Full of Cats","0","0","7","0","6.65","6.65","0.93","1.32","-41.2","1.21","0.22","61","3.24","2022-11-12","2070550"
"A City Sleeps","0","0","5","0","12.85","12.85","2.58","1.37","46.8","1.76","6.21","26","6.76","2014-10-10","316180"
"A Clockwork Ley-Line: The Borderline of Dusk","0","0","5","0","6.65","6.65","1.32","1.81","-37.5","0.99","7.47","15","3.46","2017-12-19","620080"
"A Crashlands Story: Dev Diary","0","0","6","0","0.00","0.00","0.00","N/A","0.0","0.00","0.00","0","0.00","2017-01-21","578300"
"A Day in the Woods","0","0","10","0","6.59","6.59","0.66","1.10","-66.7","56.18","39.27","24","2.86","2016-10-26","526890"
"A Demon's Game - Episode 1","0","0","5","0","2.42","2.42","0.49","0.33","33.3","0.16","0.16","141","1.26","2023-01-20","569430"
"A Detective's Novel","0","0","5","0","2.36","2.36","0.49","0.27","44.4","0.16","0.16","86","1.26","2016-07-30","503820"
"A dragon girl looks up at the endless sky","0","0","5","0","4.23","4.23","0.82","1.76","-113.3","1.65","0.71","57","2.14","2016-10-27","456760"
"A Druid's Duel","0","0","7","0","11.64","11.64","1.65","N/A","0.0","17.46","0.27","11","5.71","2015-02-25","333970"
"A Dump in the Dark","0","0","10","0","4.61","4.61","0.44","0.33","25.0","0.16","0.16","25","1.92","2017-06-27","577080"
"A Fear Of Heights, And Other Things","0","0","8","0","12.52","12.52","1.59","2.36","-48.3","0.27","16.70","11","5.55","2017-01-10","535460"
"A Fistful of Gun","0","0","11","0","3.51","3.51","0.33","0.22","33.3","3.62","0.16","59","1.70","2015-09-02","229810"
"A Foretold Affair","0","0","8","0","19.00","19.00","2.36","1.26","46.5","4.67","1.37","22","8.24","2017-03-18","586670"
"A Game of Changes","0","0","8","0","2.47","2.47","0.33","0.16","50.0","0.16","0.16","202","1.15","2016-06-12","467090"
"A Golden Wake","0","0","6","0","5.71","5.71","0.93","1.32","-41.2","6.37","6.26","16","2.42","2014-09-15","307570"
"A grande bagunça espacial - The big space mess","0","0","9","0","3.79","3.79","0.44","0.22","50.0","0.16","0.16","141","1.92","2016-04-05","449220"
"a guard walks into a tavern","0","0","6","0","12.91","12.91","2.14","1.48","30.8","1.70","0.44","20","5.60","2023-11-09","1536470"
"A Guidebook Of Babel","0","0","9","0","2.64","2.64","0.27","0.27","0.0","0.16","0.16","150","1.21","2023-09-04","1467920"
"A Gummy's Life","0","0","5","0","10.32","10.32","2.09","N/A","0.0","3.30","145.21","12","5.44","2017-11-25","585190"
"A Hat in Time","0","0","10","0","3.73","3.73","0.38","0.27","28.6","0.33","0.33","458","1.65","2017-10-06","253230"
"A Healer Only Lives Twice","0","0","5","0","7.52","7.52","1.48","0.00","100.0","7.63","0.22","13","3.84","2016-06-03","453300"
"A Hole New World","0","0","7","0","2.97","2.97","0.44","2.03","-362.5","0.16","2.47","14","1.54","2017-05-19","434160"
"A House of Many Doors","0","0","15","0","7.41","7.41","0.49","0.55","-11.1","0.60","0.93","22","3.46","2017-01-15","437250"
"A Kiss For The Petals - Remembering How We Met","0","0","8","0","4.89","4.89","0.60","0.77","-27.3","0.22","0.22","73","2.09","2015-09-25","397270"
"A Legend of Luca","0","0","7","0","16.42","16.42","2.36","1.81","23.3","3.19","0.33","9","8.24","2016-07-29","433600"
"A Light in the Dark","0","0","5","0","7.80","7.80","1.54","2.25","-46.4","261.30","0.44","23","4.01","2018-08-08","766280"
"A Little Lily Princess","0","0","6","0","10.65","10.65","1.76","1.59","9.4","1.87","0.49","29","4.56","2016-05-19","449250"
"A Little to the Left","0","0","5","0","3.08","3.08","0.60","0.49","18.2","0.49","1.54","475","1.59","2024-12-20","1629520"
"A Long Road Home","0","0","5","0","3.90","3.90","0.77","0.77","0.0","4.61","0.55","12","2.03","2017-02-04","576160"
"A Long Way Down","0","0","6","0","3.35","3.35","0.55","0.88","-60.0","0.66","0.22","14","1.43","2020-01-17","856990"
"A Long Way Home","0","0","5","0","4.45","4.45","0.88","2.03","-131.3","1.43","1.21","10","2.31","2016-07-11","461030"
"A Mass of Dead","0","0","6","0","9.56","9.56","1.59","1.48","6.9","1.15","0.22","23","4.17","2015-07-15","269630"
"A Matter of Murder","0","0","8","0","6.92","6.92","0.88","0.00","100.0","26.36","0.99","19","3.08","2018-09-28","510040"
"A Memoir Blue","0","0","5","0","3.51","3.51","0.71","1.81","-153.8","0.49","1.76","47","1.87","2022-03-25","1497450"
"A Monster's Expedition","0","0","6","0","3.19","3.19","0.55","N/A","0.0","0.71","19.22","22","1.43","2020-09-21","1052990"
"A Mortician's Tale","0","0","5","0","5.66","5.66","1.15","2.64","-128.6","0.49","3.90","21","3.02","2017-10-11","578720"
"a nifty game","0","0","8","0","5.27","5.27","0.66","1.81","-175.0","2.91","3.13","16","2.31","2017-09-10","591390"
"A Normal Lost Phone","0","0","5","0","2.69","2.69","0.55","0.38","30.0","1.43","0.16","34","1.43","2017-04-13","523210"
